Topic,"Title (for model laws include the word ""Model"" in title)",Short Title (only for Exemplary),Year (if unknown for Model look at effective date - use same year if July/prior year if January),Source,Source Website,State (multiple states separated by a comma) ,"Format (Model, Exemplary, Support)","Level (State, County, Municipal)","Type (Bill, Act/Ordinance, Executive Order, Referendum, Administrative Rule, Constitutional Amendment, Report, Other)",Web Folder Link to PDF,Web Folder Path to PDF,Web Folder Link to Word Doc,Summary,Bill Number,Web Folder Link to Bill PDF,Legislative History,Alternative Terms,(Internal Notes)
School Board Election Reform,California Laws of 2000 Chapter 44,,2000,California Legislature,http://www.legislature.ca.gov/,California,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Education/School_Board_Election_Reform/2000_California_Law_Chapter_44.pdf,,,"This bill would provide that, contingent upon the passage of the
""Smaller Classes, Safer Schools and Financial Accountability Act"" at
the November 7, 2000, general election, as an alternative, the
governing board of a school district or community college district,
may, pursuant to a 2/3 vote of the governing board, pursue the
authorization and issuance of bonds by a 55% vote of the electorate,
at a primary or general election, a regularly scheduled local
election, or a statewide special election, subject to certain
additional requirements.",2000 California House Bill 1908,,http://www.leginfo.ca.gov/pub/99-00/bill/asm/ab_1901-1950/ab_1908_bill_20000627_history.html,"School Funding, School Boards, Bond Financing,",
Accessory Dwelling Units,2000 AARP Accessory Dwelling Units Model Ordinance,,2000,AARP Policy Institute,http://www.aarp.org/research/ppi/,,Model,"State, Municipal",Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_Security/Accessory_Dwelling_Units/2000_AARP_Accessory_Dwelling_Units_Model_Ordinance.pdf,,,"This ordinance: enumerates steps that homeowners must take to obtain, keep valid, and renew  ADU permits, including standards for lots, occupants, building standards,  parking and traffic, public health,density limits, and legalizing illegal and nonconforming ADUs.",,,,,
Individual Development Accounts,2000 Connecticut Chapter 192 ,,2000,Connecticut legislature,http://www.cga.ct.gov/,Connecticut,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_Security/Individual_Development_Accounts/2000_Connecticut_Chapter_192.pdf,,,"This act establishes the Connecticut IDA Initiative, which provides individuals who earn eighty per cent of the area median household income with an opportunity, through a certified state IDA program, to establish an individual development account from which funds may be used by the account holder for one of the following purposes as specified in the approved plan: (1) The costs of education or job training; (2) the purchase of a home as a primary residence; (3) the participation in or development of a new or existing entrepreneurial activity; (4) the purchase of an automobile for the purpose of obtaining or maintaining employment; or (5) the making of a lease deposit on a primary residence.",,,http://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB05922&which_year=2000,,
Big Box Retailing,2000 Easton Maryland Amended Ordinance 399,Store Size Cap Ordinance,2000,Easton Town Council,http://www.town-eastonmd.com/,Maryland,Exemplary,Municipal,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_and_Workforce_Development/Big_Box_Retailing/1999_Easton_Maryland_Amended_Ordinance_390.pdf,,,"Ordinance No. 399  prohibits retail stores larger than 65,000 square feet and bars the Board of Zoning Appeals from granting a variance to allow a larger store.  The rules also require retail stores in excess of 25,000 square feet to obtain a permit from the Council.",,,,"Zoning, Big Box Retail, Land Use Planning, Transportation, Impact Statement, Planned Urban Development, PUD",
Big Box Retailing,2000 Santa Cruz California Zoning Provisions,,2000,Santa Cruz City Council,http://www.cityofsantacruz.com/index.aspx?page=268,California,Exemplary,Municipal,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_and_Workforce_Development/Big_Box_Retailing/2000_Santa_Cruz_California_EIR_Zoning_Ordinance.pdf,,,"An ordinance requiring new retail stores over 16,000 square feet to obtain a special permit, with approval hinging on whether they add to a balanced and diverse mix of downtown businesses. Specifically, a new store must demonstrate that it 1) adds a desired 
type of business, 2) contributes to an”appropriate balance of local or 
non-local businesses,” and 3)contributes to an “appropriate balance of 
small, medium and large-sized businesses.” In addition to enhancing the 
overall diversity of the downtown business district, the new store must 
be a “good neighbor” and contribute to community life by becoming a 
member of a business or neighborhood organization, hiring local 
residents whenever possible, and participating in festivals and other 
events.",,,,"Zoning, Big Box Retail, Land Use Planning, Transportation, Impact Statement, Planned Urban Development, PUD",
Living Wage Requirements in Government Contracts,2000 Alexandria Service Contract Wage Ordinance,Service Contract Wages,2000,Alexandria City Council,http://alexandriava.gov/,Virginia,Exemplary,Municipal,Act/Ordinance ,http://www.BrandeisProject.org/Alice/Web_Folder/Government_Performance/Living_Wage_Requirements_in_Government_Contracts/2000_Alexandria_Service_Contract_Wage_Ordinance.pdf,,,"A municipal ordinance that requires contractors, excluding construction contracts, providing 
services on City-owned or City-controlled property to pay a minimum wage
 to their employees.",,,,"Living Wage, Government Contract, Public Contract, Government Procurement, Service Contracts, Economic Development",
Living Wage Requirements in Government Contracts,2000 San Francisco Ordinances Chapter 12P,San Francisco Minimum Compensation Ordinance,2000,San Francisco Board of Supervisors,http://www.sfbos.org/,California,Exemplary,Municipal,Act/Ordinance ,http://www.BrandeisProject.org/Alice/Web_Folder/Government_Performance/Living_Wage_Requirements_in_Government_Contracts/2000_San_Francisco_Ordinances_Chapter_12P.pdf,,,"An act that requires city service contractors, including nonprofit agencies,
 and leaseholders at San Francisco International Airport to pay workers 
a living wage.  It also gives workers 12 
paid days off and 10 unpaid days for family emergencies. 
 ",,,,"Living Wage, Government Contract, Public Contract, Government Procurement, Service Contracts, Economic Development, ",
Living Wage Requirements in Government Contracts,2000 Santa Cruz Living Wage Ordinance,Santa Cruz Living Wage Ordinance,2000,Santa Cruz City Council,http://www.cityofsantacruz.com/index.aspx?page=268,California,Exemplary,Municipal,Act/Ordinance ,http://www.BrandeisProject.org/Alice/Web_Folder/Government_Performance/Living_Wage_Requirements_in_Government_Contracts/2000_Santa_Cruz_Living_Wage_Ordinance.pdf,,,"An act that requires city service contractors, to pay workers 
a living wage.  Each year the city council will review and extend the living wage by at least an amount which corresponds to the cost of living increase as measured by the San Francisco-Oakland-San Jose area Consumer Price 
Index. ",,,,"Living Wage, Government Contract, Public Contract, Government Procurement, Service Contracts, Economic Development,",
Cooperative Procurement,Model Procurement Code for State and Local Governments,,2000,National Association of State Procurement Officials,http://www.naspo.org,,Model,"State, County, Municipal",Report,http://www.BrandeisProject.org/Alice/Web_Folder/Government_Performance/Cooperative_Procurement/Model_Procurement_Code_For_State_And_Local_Governments.pdf,,,"A report and model statute on cooperative procurement, a system where two or more governments, or two or more government purchasing units purchase goods under the same contract in order to obtain the best value. ",,,,"Government Contract, Public Contract, Government Procurement",
Payday Lending Reform,Deferred Deposit Loan Model Act ,,2000,National Consumer Law Center,http://www.nclc.org/,,Model,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_Security/Payday_Lending_Reform/Deferred_Deposit_Loan_Model_Act.pdf,,,"This bill protect consumers who enter into short-term, high rate loans from abuses that occur in the credit marketplace when such lenders are unregulated. The bill: prohibits charging usurious fees, rolling over payday loans,and use or threat of criminal prosecution to collect on loans; requires certain disclosures and language requirements for transaction documents; contains licensing and regulatory requirements for state oversight; provides for a consumer private right of action and the recovery of damages, fees, and costs.",,,,,
School Board Election Reform,2000 California Proposition 39,School Facilities Local Vote Act of 2000,2000,California Citizens Initiative,,California,Exemplary,State,Constitutional Amendment,http://www.BrandeisProject.org/Alice/Web_Folder/Education/School_Board_Election_Reform/2000_California_Proposition_39.pdf,,,"Authorizes bonds for repair, construction or replacement of school facilities, classrooms, if approved by 55% local vote. Fiscal Impact: Increased bond debt for many school districts. Long-term costs statewide could total in the hundreds of millions of dollars annually. Potential longer-term state savings to the extent school districts assume greater responsibility for funding school facilities.",,http://www.leginfo.ca.gov/pub/99-00/bill/asm/ab_1901-1950/ab_1908_bill_20000211_introduced.pdf,http://www.leginfo.ca.gov/pub/99-00/bill/asm/ab_1901-1950/ab_1908_bill_20000627_history.html,"School Funding, School Boards, Bond Financing, ",
In-State Tuition and Aid for Qualified Undocumented Students,2001 California Chapter 814,,2001,California legislature,http://www.legislature.ca.gov/,California,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Immigrant_Rights/In-state_Tuition_&_Aid_for_Qualified_Undocumented_Students/2001_California_Chapter_814.pdf,,,"This act requires that a person, other than a nonimmigrant alien as defined, who has attended high school in California for 3 or more years, who has graduated from a California high school or attained the equivalent thereof, who has registered at or attends an accredited institution of higher education in California not earlier than the fall semester or quarter of the 2001–02 academic year, and who, if he or she is an alien without lawful immigration status, has filed an affidavit as specified, be exempted from paying nonresident tuition at the California Community Colleges and the California State University.",2001 California Assembly Bill 540; http://www.leginfo.ca.gov/pub/01-02/bill/asm/ab_0501-0550/ab_540_bill_20010221_introduced.pdf,http://www.BrandeisProject.org/Alice/Web_Folder/Immigrant_Rights/In-state_Tuition_&_Aid_for_Qualified_Undocumented_Students/2001_California_Assembly_Bill_540.pdf,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_540&sess=0102&house=B&author=firebaugh,"State DREAM Act, Tuition Equity, California Immigrant Higher Education Act, In-state tuition for undocumented immigrants ",
Pay As You Drive Car Insurance,2001 Texas Chapter 971,,2001,Texas Legislature,http://www.capitol.state.tx.us/,Texas,Exemplary ,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Infrastructure_and_Smart_Growth/Pay_As_You_Drive_Car_Insurance/2001_Texas_House_Bill_45.pdf,,,Authorizes an insurer of motor vehicle insurance coverage to offer a choice betweena mile-based rating plan and a time-based rating plan for motor vehicle insurance coverage. ,2001 Texas House Bill 45,http://www.capitol.state.tx.us/tlodocs/77R/billtext/doc/HB00045I.doc,http://www.capitol.state.tx.us/BillLookup/History.aspx?LegSess=77R&Bill=HB45,"Insurance, Mile Based Rating Plans, Time Based Rating Plan, PAYD",
Renewable Energy Portfolio Standards,2001 Nevada Chapter 519,,2001,Nevada Legislature ,http://www.leg.state.nv.us/,Nevada,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Energy_and_Environment/Renewable_Energy_Portfolio_Standards/2001_Nevada_Chapter_519.pdf,,,An Act relating to energy; revising and clarifying provisions requiring certain providers of electric service to comply with a portfolio standard for renewable energy; authorizing the public utilities commission of Nevada to impose administrative fines against noncomplying providers under certain circumstances and to take other administrative actions to ensure compliance with the portfolio standard; requiring the governing bodies of certain counties and cities to adopt certain codes concerning energy efficiency; and providing other matters properly relating thereto.,2001 Senate Bill 372,,http://www.leg.state.nv.us/Session/71st2001/Reports/history.cfm?billname=SB372,,
